StudentId,Task1,Task2,Task3,Task4
1,Done,Done,Done,Done
2,Done,Done,Done,Done
3,Done,Done,Done,Done
4,Done,Done,Done,Done
5,Done,Done,Done,Done
7,Done,Done,Done,Done
8,Done,not completed,Done,Done
9,Done,Done,Done,Done
10,Done,Done,Done,Done
11,Done,Done,Done,Done
14,Done,Done,Done,Done
16,Done,Done,Done,Done
18,Done,Done,Done,Done
19,Done,Done,Done,Done
20,Done,Done,Done,Done
21,Done,Done,Done,Done
22,Done,Done,Done,Done
23,Done,Done,Done,Done
24,Done,Done,Done,Done
26,Done,Done,Done,Done
27,Done,Done,Done,Done
